[19:53:46] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[19:53:47] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[19:53:47] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[19:53:47] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[19:53:47] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[19:53:47] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[19:53:47] [main/INFO]: Reloading ResourceManager: Default
[19:53:50] [Worker-Main-2/INFO]: Loaded 7 recipes
[19:53:51] [Worker-Main-2/INFO]: Loaded 927 advancements
[19:53:59] [Server thread/INFO]: Starting minecraft server version 1.16.5
[19:53:59] [Server thread/INFO]: Loading properties
[19:53:59] [Server thread/INFO]: Default game type: SURVIVAL
[19:53:59] [Server thread/INFO]: Generating keypair
[19:53:59] [Server thread/INFO]: Starting Minecraft server on *:25565
[19:54:00] [Server thread/INFO]: Using epoll channel type
[19:54:00] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[19:54:00] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[19:54:00] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[19:54:00] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[19:54:00] [Server thread/INFO]: Preparing level "Minecrift"
[20:12:34] [Server thread/INFO]: Moth has made the advancement [Getting an Upgrade]
[20:13:32] [Server thread/INFO]: Moth has made the advancement [Monster Hunter]
[20:14:24] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 2016ms or 40 ticks behind
[20:14:35] [Server thread/INFO]: Moth was blown up by Creeper
[20:15:33] [Server thread/WARN]: Moth moved too quickly! 10.212095320108624,-1.2491870787446828,-0.16629682427031867
[20:16:02] [Server thread/INFO]: Moth was slain by Zombie
[20:16:11] [Server thread/INFO]: smolpp hit the ground too hard
[20:16:32] [Server thread/INFO]: smolpp has made the advancement [Getting an Upgrade]
[20:17:29] [Server thread/INFO]: smolpp has made the advancement [Stone Age]
[20:20:39] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 2039ms or 40 ticks behind
[20:20:57] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 2523ms or 50 ticks behind
[20:21:20] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 8624ms or 172 ticks behind
[20:24:39] [Server thread/INFO]: smolpp has made the advancement [The Parrots and the Bats]
[20:25:47] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 2287ms or 45 ticks behind
[20:27:28] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 2097ms or 41 ticks behind
[20:27:55] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 12056ms or 241 ticks behind
[20:28:09] [Server thread/INFO]: smolpp has made the advancement [Acquire Hardware]
[20:28:13] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 3059ms or 61 ticks behind
[20:29:41] [Server thread/INFO]: Moth has made the advancement [Acquire Hardware]
[20:31:06] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 2082ms or 41 ticks behind
[20:31:07] [Server thread/INFO]: Moth has made the advancement [Isn't It Iron Pick]
[20:31:49] [Server thread/INFO]: smolpp has made the advancement [A Seedy Place]
[20:32:06] [Server thread/INFO]: smolpp has made the advancement [Not Today, Thank You]
[20:32:33] [Server thread/INFO]: Moth has made the advancement [A Seedy Place]
[20:32:40] [Server thread/INFO]: smolpp has made the advancement [Isn't It Iron Pick]
[20:35:25] [Server thread/INFO]: smolpp was slain by Zombie
[20:37:48] [Server thread/INFO]: Moth has made the advancement [Not Today, Thank You]
[20:49:57] [Server thread/INFO]: Moth lost connection: Disconnected
[20:49:58] [Server thread/INFO]: Moth left the game
[20:49:59] [Server thread/INFO]: smolpp lost connection: Disconnected
[20:49:59] [Server thread/INFO]: smolpp left the game
[20:53:16] [Server thread/INFO]: samuel[/192.168.0.9:52266] logged in with entity id 9640 at (-8.5, 67.0, -92.5)
[20:53:16] [Server thread/INFO]: samuel joined the game
[20:55:27] [Server thread/INFO]: samuel was shot by Skeleton
[20:56:25] [Server thread/INFO]: samuel has made the advancement [Monster Hunter]
[20:56:40] [Server thread/INFO]: Moth[/192.168.0.7:51363] logged in with entity id 10035 at (-53.64049512991166, 63.0, -33.21974727004695)
[20:56:40] [Server thread/INFO]: Moth joined the game
[20:57:05] [Server thread/INFO]: samuel has made the advancement [Stone Age]
[20:57:21] [Server thread/INFO]: samuel was shot by Skeleton
[20:58:22] [Server thread/INFO]: smolpp[/192.168.0.4:54789] logged in with entity id 10364 at (-27.801124320627594, 64.0, -71.55991905061485)
[20:58:22] [Server thread/INFO]: smolpp joined the game
[20:58:51] [Server thread/INFO]: samuel tried to swim in lava
[21:00:58] [Server thread/INFO]: samuel went up in flames
[21:02:06] [Server thread/INFO]: samuel has made the advancement [Getting an Upgrade]
[21:02:13] [Server thread/INFO]: samuel has made the advancement [Acquire Hardware]
[21:02:36] [Server thread/INFO]: samuel has made the advancement [Isn't It Iron Pick]
[21:02:42] [Server thread/WARN]: Fetching packet for removed entity bcv['Air'/11158, l='ServerLevel[Minecrift]', x=7.50, y=63.00, z=-84.50]
[21:02:42] [Server thread/WARN]: Fetching packet for removed entity bcv['Air'/11158, l='ServerLevel[Minecrift]', x=7.50, y=63.00, z=-84.50]
[21:02:42] [Server thread/WARN]: Fetching packet for removed entity bcv['Air'/11158, l='ServerLevel[Minecrift]', x=7.50, y=63.00, z=-84.50]
[21:02:45] [Server thread/WARN]: Fetching packet for removed entity bcv['Air'/11210, l='ServerLevel[Minecrift]', x=7.50, y=63.00, z=-84.50]
[21:02:45] [Server thread/WARN]: Fetching packet for removed entity bcv['Air'/11210, l='ServerLevel[Minecrift]', x=7.50, y=63.00, z=-84.50]
[21:02:45] [Server thread/WARN]: Fetching packet for removed entity bcv['Air'/11210, l='ServerLevel[Minecrift]', x=7.50, y=63.00, z=-84.50]
[21:02:47] [Server thread/WARN]: Fetching packet for removed entity bcv['Air'/11248, l='ServerLevel[Minecrift]', x=7.50, y=63.00, z=-84.50]
[21:02:47] [Server thread/WARN]: Fetching packet for removed entity bcv['Air'/11248, l='ServerLevel[Minecrift]', x=7.50, y=63.00, z=-84.50]
[21:02:47] [Server thread/WARN]: Fetching packet for removed entity bcv['Air'/11248, l='ServerLevel[Minecrift]', x=7.50, y=63.00, z=-84.50]
[21:06:11] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 2016ms or 40 ticks behind
[21:10:50] [Server thread/INFO]: samuel lost connection: Disconnected
[21:10:50] [Server thread/INFO]: samuel left the game
[21:12:46] [Server thread/INFO]: samuel[/192.168.0.9:52404] logged in with entity id 13191 at (-24.641900280248695, 66.0, -71.17931652911055)
[21:12:46] [Server thread/INFO]: samuel joined the game
[21:13:34] [Server thread/INFO]: Moth was shot by Skeleton
[21:13:36] [Server thread/INFO]: smolpp was shot by Skeleton
[21:28:20] [Server thread/INFO]: samuel has made the advancement [A Seedy Place]
[21:28:40] [Server thread/INFO]: smolpp was blown up by Creeper
[21:30:01] [Server thread/INFO]: samuel has made the advancement [Not Today, Thank You]
[21:31:03] [Server thread/WARN]: Fetching packet for removed entity bcv['Gray Wool'/16664, l='ServerLevel[Minecrift]', x=-10.25, y=68.00, z=-87.68]
[21:34:58] [Server thread/INFO]: smolpp was shot by Skeleton
[21:35:41] [Server thread/INFO]: Moth has made the advancement [The Parrots and the Bats]
[21:41:28] [Server thread/INFO]: samuel lost connection: Disconnected
[21:41:28] [Server thread/INFO]: samuel left the game
[21:43:12] [Server thread/INFO]: smolpp has made the advancement [Hot Stuff]
[21:47:55] [Server thread/INFO]: Moth has made the advancement [Take Aim]
[21:48:53] [Server thread/INFO]: smolpp has made the advancement [Take Aim]
[21:50:35] [Server thread/INFO]: smolpp was shot by Skeleton
[21:52:01] [Server thread/INFO]: smolpp has made the advancement [Sweet Dreams]
[21:52:02] [Server thread/INFO]: Moth has made the advancement [Sweet Dreams]
[21:56:10] [Server thread/WARN]: smolpp moved too quickly! -7.761169466172248,-0.5764407054569602,6.539684623750929
[21:56:13] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 2045ms or 40 ticks behind
[21:56:32] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 4708ms or 94 ticks behind
[21:56:54] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 7070ms or 141 ticks behind
[21:57:01] [Server thread/INFO]: smolpp has made the advancement [Ice Bucket Challenge]
[21:57:14] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 4677ms or 93 ticks behind
[21:58:51] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 2006ms or 40 ticks behind
[21:59:08] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 2306ms or 46 ticks behind
[21:59:33] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 9817ms or 196 ticks behind
[22:00:18] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 2021ms or 40 ticks behind
[22:00:36] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 2960ms or 59 ticks behind
[22:00:55] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 3702ms or 74 ticks behind
[22:01:12] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 2072ms or 41 ticks behind
[22:01:46] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 2011ms or 40 ticks behind
[22:01:59] [Server thread/WARN]: smolpp moved too quickly! -5.5751266195209155,-0.7255030388504906,-8.474581856617533
[22:02:09] [Server thread/WARN]: smolpp moved too quickly! -3.3570835222793107,1.5177355047266445,-9.462461644225243
[22:02:15] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 13301ms or 266 ticks behind
[22:02:33] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 3391ms or 67 ticks behind
[22:03:03] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 15071ms or 301 ticks behind
[22:03:27] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 9265ms or 185 ticks behind
[22:03:48] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 5091ms or 101 ticks behind
[22:07:28] [Server thread/INFO]: Moth was blown up by Creeper
[22:13:42] [Server thread/INFO]: smolpp lost connection: Disconnected
[22:13:42] [Server thread/INFO]: smolpp left the game
[22:14:11] [Server thread/INFO]: Moth has made the advancement [Tactical Fishing]
[22:14:16] [Server thread/INFO]: samuel[/192.168.0.9:58907] logged in with entity id 25479 at (-15.433815706897132, 69.5, -90.00272406611128)
[22:14:16] [Server thread/INFO]: samuel joined the game
[22:14:44] [Server thread/INFO]: <Moth> simon left
[22:14:57] [Server thread/INFO]: <Moth> cuze bord
[22:17:50] [Server thread/INFO]: <samuel> did simon fuck off?
[22:17:57] [Server thread/INFO]: <Moth> yah]
[22:18:16] [Server thread/INFO]: <samuel> op samue
[22:18:58] [Server thread/INFO]: Moth lost connection: Disconnected
[22:18:58] [Server thread/INFO]: Moth left the game
[22:22:38] [Server thread/INFO]: samuel lost connection: Disconnected
[22:22:38] [Server thread/INFO]: samuel left the game
[22:30:32] [Server thread/INFO]: Stopping server
[22:30:33] [Server thread/INFO]: Saving players
[22:30:33] [Server thread/INFO]: Saving worlds
[22:30:33] [Server thread/INFO]: Saving chunks for level 'ServerLevel[Minecrift]'/minecraft:overworld
[22:30:57] [Server thread/INFO]: ThreadedAnvilChunkStorage (Minecrift): All chunks are saved
[22:30:57] [Server thread/INFO]: Saving chunks for level 'ServerLevel[Minecrift]'/minecraft:the_nether
[22:30:57] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM-1): All chunks are saved
[22:30:57] [Server thread/INFO]: Saving chunks for level 'ServerLevel[Minecrift]'/minecraft:the_end
[22:30:57] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM1): All chunks are saved
[22:30:58] [Server thread/INFO]: ThreadedAnvilChunkStorage (Minecrift): All chunks are saved
[22:31:02] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM-1): All chunks are saved
[22:31:02] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM1): All chunks are saved
